node_name,node_id,status,cpu_percent,mem_percent,gpu_percent,disk_percent
ea4a6ce25cf9da097d783144,76,online,0.0,0.0,0.0,0.0
04b76e48f8e09cede7bf6582,77,online,0.0,0.0,0.0,0.0
c9d6f1287f815509d8a2b269,78,online,0.0,0.0,0.0,0.0
0f719984652d7e12df59027c,79,online,0.0,0.0,0.0,0.0
ca0d455228946a17120af878,80,online,0.0,0.0,0.0,0.0
784c3621cbf36930aa3cbb9d,81,online,0.0,0.0,0.0,0.0
48931f4f3bf9f7409a01c511,82,online,0.0,0.0,0.0,0.0
56f17ffe98e41dd0b4a45461,83,online,0.0,0.0,0.0,0.0
0ada2343597a34b8ab9a3d00,84,online,14.9,0.6,46.0,3.0
795e3e50c66cb2a07cbfbd05,85,online,31.3,1.0,46.6,15.9
8b6010469bca955ebf056a33,86,online,0.0,0.9,57.0,16.6
e2dcc65ad791044c17e52998,87,online,10.3,0.7,38.6,3.6
39045412e5ae0ec60c1cc36b,88,online,14.9,0.8,42.9,9.4
300f408a48ebc8fd8eeba7be,89,online,8.3,0.5,15.5,1.6
c3f87a68cf6b9650a8a77c67,90,online,15.4,0.8,35.2,5.4
aea554ec08021e56e43cbedf,91,online,11.6,0.7,37.8,4.0
7ba29b2f06bf95163b0c7fa6,92,online,8.5,0.5,18.4,1.4
40df5d7392ee3c1cd401f676,93,online,11.8,0.7,28.1,4.7
1c18c66311776cfdf1cfe92a,94,online,23.5,0.8,51.4,11.1
f5c563f385499ffcf14ab4dc,95,online,16.7,0.6,30.7,1.8
09e35ebb0fefd48938c57e08,96,online,15.2,0.8,42.7,6.2
14b2923a689fbdaacd311ec5,97,online,18.3,0.9,50.2,11.9
0e5aaa164cea53a8c065843e,98,online,12.6,0.8,29.6,4.1
5f89cdafbff37ae80bc826e0,99,online,21.6,0.6,59.8,4.6
810283a2501db3565ba0caee,100,online,12.3,0.5,9.8,1.7
bd1aca1d83c79643a177a7c4,101,online,12.5,0.7,37.8,3.3
7f986c3db31278d78b2e5a8a,102,online,8.8,0.6,30.6,2.7
edf154babe804e727d6f6689,103,online,11.4,0.5,11.8,1.6
9cd337865ea7b41724c366c3,104,online,15.9,0.8,42.3,8.3
e03928576b1cd17e64172f14,105,online,18.3,0.7,54.2,9.8
6c0b21e54ca27fcf39568a9f,106,online,21.2,0.8,61.8,12.2
a68c76d8995c23ea959386b5,107,online,18.2,0.8,56.6,8.2
eed801020298c270969c756a,108,online,21.6,0.7,57.8,8.3
985f9c5dad4ed785593443d3,109,online,12.9,0.8,39.0,4.5
6d4081eda3214864147e1722,110,online,12.4,0.8,33.0,4.9
0ffa5a1d44c69f2e46a24bd7,111,online,21.4,0.7,46.9,3.5
3d8135706a688efa38c92b62,112,online,12.4,0.6,38.4,4.5
2a639f7c09097f105d0d5d1c,113,online,8.3,0.5,20.3,1.9
21d9358443880c9809bc53a1,114,online,12.6,0.8,26.6,5.3
7fed017666e43346eae7040d,115,online,8.2,0.5,24.0,2.1
3c61ec3cf25d075b6d0959b5,116,online,9.6,0.5,24.3,1.3
851373f8f67d6820384166db,117,online,10.3,0.6,28.0,3.2
53a06e58f1dccf4da35cceb9,118,online,16.0,0.7,70.7,7.3
513893a3cecfa71050c58f1b,119,online,17.9,0.8,38.5,6.8
e58b96db4eb85531f1113a0b,120,online,0.0,0.0,0.0,0.0
b400d6398a1e669079bf763d,121,online,23.1,0.8,61.6,7.0
e1aa816efb68c4af9775bbeb,122,online,12.1,0.8,37.7,7.3
9e51377a1e9a19798dc28505,123,online,8.0,0.7,34.4,3.0
a5d7372b04dedb4f040d9038,124,online,13.1,0.7,33.5,6.1
120ae6e2cca223c2d1dea59d,125,online,21.3,0.8,50.4,16.0
af82b95ca9c343b747970362,126,online,0.0,0.7,44.1,3.3
3ee6673f347e44319c021969,127,online,10.8,0.7,38.0,3.8
c498c793b24e0a46beef5361,128,online,9.5,0.6,23.5,2.6
81176d7d30ecaec06d954fcd,129,online,19.3,0.7,45.1,7.2
303060609716c3e963030eb0,130,online,7.1,0.6,38.5,2.1
b6e9407781021c8debc66b59,131,online,6.6,0.5,14.8,1.9
07a6772e2828f6b48a24030d,132,online,23.8,0.7,29.6,3.7
9f75e9b83f6d914a91317c75,133,online,12.3,0.6,19.0,3.1
0f5afb06b0f4c4c8479109ca,134,online,12.3,0.7,36.5,5.8
2287d1c7f1ecb82804cf253d,135,online,12.2,0.7,50.9,5.6
a2612597acedcd0c2dbed67f,136,online,6.0,0.4,6.6,1.8
47ed063fc0ff6fa921a14f39,137,online,24.5,0.7,55.2,10.6
b04b4629edfbfffe17dc968d,138,online,27.2,0.9,58.1,9.0
c82dcb1da2d66e8b41e1d98e,139,online,22.1,0.9,50.1,13.1
ce86ba6f1ffa8f7cde851249,140,online,28.9,0.8,61.1,15.0
f0593b9e691930b6c07625e6,141,online,25.6,0.8,67.9,15.5
0caf8aa8ca750c7b486aba52,142,online,14.0,0.8,36.3,6.0
6f56bb87c055496991a51ec2,143,online,13.9,0.6,36.0,2.4
ad57021650b5e8a728070887,144,online,5.2,0.2,11.6,2.7
931d331e4b680202addef24b,145,online,0.0,0.0,0.0,0.0
bb59cf1a2993e6a18f8fd382,146,online,13.2,0.7,43.4,7.5
4e488dad6c33fa4703fb774b,147,online,10.1,0.7,28.5,3.7
93219572e9d71ab29d03c6fb,148,online,0.0,0.9,0.0,0.8
27fa1f2a704d41de614d2dbb,149,online,15.8,0.7,48.8,3.9
5090496240a9c577da1295fa,150,online,20.9,0.8,52.4,9.7
9df18e1c718bd63cdfb2a1f4,151,online,14.3,0.7,50.9,6.2
c18c640bb7c99eab0917d92b,152,online,13.8,0.6,29.0,4.1
9232097848c9e7f5fdf415a2,153,online,19.9,0.6,57.8,4.0
beccbf3074b5aeda07612303,154,online,7.1,0.5,23.5,2.2
c0bb911306731844133b580d,155,online,17.5,0.8,51.7,6.0
18d8601aa92b806e6a92706d,156,online,13.0,0.7,21.6,3.3
622a51c0206355e7c2afb949,157,online,15.3,0.6,41.6,4.3
5f07cb0e049f6a430fe58278,158,online,11.3,0.6,36.1,4.5
1fe288adc152b8b85f4aece5,159,online,10.1,0.7,31.9,4.3
e43c39795db332fb49f70987,160,online,19.4,0.8,57.0,10.9
11bd0aa064ec3a47833e3e18,161,online,10.9,0.7,38.8,5.2
98c8c62bb1e110d37791bd5e,162,online,23.6,0.6,53.2,6.1
679f7333fc6f33c1fa946cc8,163,online,11.1,0.6,36.4,4.3
15039551336347a7df6db1e9,164,online,14.8,0.8,38.1,8.8
c8e0385741f9a702e8b41c7e,165,online,0.0,0.7,0.0,0.1
20db11b1d966ed71037896ca,166,online,16.3,0.8,29.4,4.9
d35e39d98590d2d344eecbba,167,online,6.7,1.1,17.4,1.6
eccc732a484883d5124de826,168,online,8.7,0.7,28.5,5.0
19b8cacc9bd1de5e70c029a2,169,online,15.3,0.8,45.6,8.8
d5ffc2aedbeb213cbdbd35f9,170,online,15.2,0.7,82.7,5.9
a743802516ac4acb3899f2f8,171,online,14.3,0.6,42.7,5.1
45c255ace4249cd6e919b651,172,online,11.1,0.7,28.5,3.9
fd0d2b2e8ec244a67a6226f2,173,online,9.1,0.5,12.2,1.5
93beab48e3d402bc57b9f41c,174,online,8.5,0.7,42.4,1.6
43d0e47eaab1e57aa72a05c9,175,online,14.7,0.8,36.4,8.7
47ef3da4393468fb79be02b0,176,online,13.4,0.8,44.4,5.7
2500a3f1f824bf611a9ebe04,177,online,16.6,0.8,40.7,7.6
9153f8bc80cdd1b1cdbaea90,178,online,8.2,0.7,20.4,2.6
0aedbe3e3045982a0722b6a2,179,online,11.0,0.6,35.1,4.0
1380054ea7f2b0620cb29a6d,180,online,8.3,0.6,12.9,2.5
d11b05b84440bcc118721024,181,online,10.2,0.7,22.3,3.3
f2062593f6f48f888dfcdf66,182,online,9.8,0.7,37.7,4.7
7cbd5227bd5278a35fc20f3d,183,online,13.7,0.6,36.0,4.6
7675232a4bab612331337a55,184,online,15.5,0.9,46.3,7.2
716aa57c64dfb3fac6940e58,185,online,12.1,0.6,29.2,2.7
aeaf435d7099116015ac894e,186,online,21.2,0.7,47.5,12.9
0e2a8e35006f6afe30fb5f0e,187,online,6.4,0.7,19.2,3.5
84ea3c2d736cbacde007da20,188,online,26.0,0.9,60.8,10.2
eab037d50adb03495d31ae34,189,online,12.4,0.7,46.4,4.3
19100a7bab6e57763116aac9,190,online,7.7,0.6,31.3,2.5
303c546b2641e5cd3454b08e,191,online,13.9,0.6,43.8,4.5
39df714ca470f23748520adf,192,online,14.1,0.8,61.3,6.0
e0f2cb17210be23109a5562e,193,online,29.5,0.8,53.9,13.1
0a6a013071feb8c0d4f4d8f6,194,online,7.5,0.7,30.2,2.0
332c92f3e6ff7bc2114eeaa0,195,online,14.9,0.8,32.8,6.9
c7e279eed90b844cd1286ed0,196,online,9.5,0.7,22.8,3.9
377a36155d2736d5dac76a47,197,online,29.1,1.0,56.1,13.4
79222efc09db495a3578bf30,198,online,16.4,0.7,52.1,9.0
64f0da0e42b4035eaeb7bce4,199,online,10.4,0.6,28.5,3.8
b4041b17cca3dc4e5d68e652,200,online,9.9,0.6,26.4,3.2
0c8fa5d18e24b80cad5bff99,201,online,12.1,0.7,38.9,4.3
5c685eaac3ae54130ddaef77,202,online,20.6,0.7,54.2,12.6
c1bf6e5752996eba86ceb218,203,online,15.5,0.8,46.3,7.6
1588e233f75554bcf494befc,204,online,15.4,0.7,39.4,3.8
831394f03875aef4260cdffb,205,online,14.5,0.8,38.6,6.8
33c3226314504d4f3df46bfb,206,online,12.7,0.7,29.6,5.4
15c5edff1bc34f6c20b58a74,207,online,9.8,0.5,23.5,2.3
9b9c8d7d14f9ae15a9b561d8,208,online,11.3,0.6,26.1,3.8
e30cef85ba3c25b4311bc158,209,online,10.0,0.7,35.6,3.6
